account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats_x,is_trial,churn_flag,total_subscriptions,lifetime_mrr_sum,total_upgrades,total_downgrades,first_start_date,current_plan_tier,seats_y,current_mrr,current_arr,billing_frequency,end_date,tenure_days,total_usage_events,total_errors,distinct_features_used,last_usage_date,days_since_last_usage,total_tickets,avg_satisfaction,escalation_count,latest_churn_reason,churned,revenue_at_risk_arr,recency_score,breadth_score,support_score,satisfaction_score_0_100,health_score,health_tier
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,10,12603,1,0,2024-10-20,Basic,44,836,10032,monthly,,73,55,38,27,2024-12-10,22,2.0,3.0,0.0,competitor,False,0,75.86206896551724,56.00000000000001,80.0,50.0,66.6,Watch
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,8,10004,3,0,2023-09-20,Pro,18,882,10584,monthly,,469,35,14,23,2024-12-29,3,3.0,4.0,0.0,never_churned,True,10584,97.70114942528735,40.0,70.0,75.0,73.2,Healthy
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,15,18286,1,1,2024-08-31,Pro,2,98,1176,annual,,123,83,48,34,2024-12-22,10,3.0,4.666666666666667,0.0,support,False,0,89.65517241379311,84.0,70.0,91.66666666666667,84.7,Healthy
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,7,9275,2,0,2023-12-04,Pro,24,1176,14112,monthly,,394,41,21,26,2024-12-11,21,2.0,,0.0,support,False,0,77.01149425287356,52.0,80.0,74.10407725321888,70.8,Healthy
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,9,48761,2,0,2024-10-28,Enterprise,109,21691,260292,monthly,2024-12-31,64,58,31,32,2024-12-23,9,7.0,3.8,1.0,budget,True,260292,90.80459770114942,76.0,10.0,70.0,66.8,Watch
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,11,16810,0,0,2023-12-01,Enterprise,25,0,0,annual,,397,47,21,28,2024-11-20,42,4.0,3.0,0.0,unknown,False,0,52.87356321839081,60.0,60.0,50.0,55.5,Watch
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,9,16633,0,0,2024-03-16,Enterprise,26,5174,62088,monthly,,291,39,14,26,2024-12-17,15,6.0,3.8,3.0,never_churned,False,0,83.9080459770115,52.0,0.0,70.0,56.4,Watch
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,10,13048,0,0,2023-05-11,Pro,32,1568,18816,annual,,601,41,23,29,2024-12-02,30,3.0,,0.0,competitor,False,0,66.66666666666667,64.0,70.0,74.10407725321888,68.2,Watch
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,10,23057,1,0,2024-09-10,Pro,12,0,0,annual,,113,48,29,27,2024-12-29,3,4.0,3.6666666666666665,0.0,budget,True,0,97.70114942528735,56.00000000000001,60.0,66.66666666666666,73.5,Healthy
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,6,8787,1,0,2023-05-12,Pro,34,1666,19992,monthly,,600,27,14,23,2024-12-23,9,3.0,3.5,0.0,never_churned,True,19992,90.80459770114942,40.0,70.0,62.5,68.3,Watch
